"V1","a"
528,1737
528,1804
528,1906
528,1910
528,2203
528,2209
528,2218
528,2220
528,2221
528,2299
528,2890
528,3292
528,3618
528,3665
531,667
531,774
533,534
533,595
535,1751
535,3771
536,726
537,678
537,988
540,541
541,1062
546,547
548,971
548,1972
548,1973
548,2080
548,2227
548,2289
548,2733
548,2809
548,2851
548,3617
549,550
551,648
551,877
551,896
551,975
551,1016
551,1176
551,1438
551,1510
551,1807
551,1826
551,1873
551,2014
551,2322
551,2453
551,2765
551,3061
551,3116
551,3154
551,3207
552,1048
554,555
556,2236
556,2559
556,2999
556,3052
556,3340
558,586
558,804
558,836
558,1011
558,1211
561,731
561,1458
562,596
567,568
567,951
567,994
568,707
569,918
569,952
569,3329
572,718
572,1109
577,2115
579,1332
579,2250
580,581
580,1055
580,1430
580,1725
580,2110
581,993
581,1331
581,1478
581,2015
581,2458
581,2862
584,967
584,3315
585,772
585,773
585,900
585,1191
585,3428
591,616
591,2292
595,596
595,597
596,597
597,606
599,638
600,672
600,930
600,1032
600,1708
600,2656
600,3084
601,602
603,960
603,1243
603,1984
603,2999
603,3031
604,983
607,608
607,960
608,930
608,960
608,1184
608,3767
609,2555
609,3687
610,670
613,614
614,957
616,959
616,960
618,1276
620,621
620,626
620,755
620,875
622,1494
622,1723
624,960
624,2643
629,1269
639,929
640,641
640,3422
643,1539
643,2301
643,2438
643,2603
643,2888
643,3297
643,3321
643,3560
646,933
648,896
648,1889
648,3084
649,650
653,1096
659,1132
660,661
663,1021
665,666
669,670
669,2163
669,3670
670,1078
676,877
678,945
678,1982
678,2557
679,680
679,681
682,683
682,1212
683,1213
683,2414
683,2508
683,2854
684,2331
689,3398
691,692
692,711
693,1429
693,1453
693,1865
693,2109
693,2741
693,3093
696,740
696,835
697,698
699,1758
701,833
701,2115
704,705
704,1016
706,856
706,1364
706,1378
706,1772
706,2049
706,2301
706,2411
706,2699
706,2801
706,2940
706,3141
706,3162
708,1307
708,3576
709,1428
710,711
711,1544
712,739
712,3546
715,891
716,1860
716,2301
718,1109
719,805
720,721
724,2662
728,2229
730,3112
732,733
732,3503
733,1032
736,737
748,2168
748,2212
748,2217
753,784
753,901
756,831
756,1735
756,2993
757,758
757,793
757,971
757,2102
757,2164
757,2165
757,2178
757,2820
758,793
760,761
762,998
765,819
765,983
765,984
769,975
769,1043
769,1364
769,1397
769,2480
772,2209
772,2220
772,3292
773,1124
775,2474
776,889
776,3267
776,3323
776,3554
777,1267
777,2328
777,2356
779,2301
784,901
788,2173
792,3466
793,1429
793,1656
793,1924
793,1933
793,2102
793,2123
793,2239
793,2244
793,2248
793,2250
793,2257
793,3225
793,3653
793,3912
798,1247
800,1620
805,2342
812,813
817,914
820,821
821,1608
831,1099
831,1578
831,1735
831,1901
831,2993
831,3416
833,834
833,983
833,984
833,2115
834,860
837,838
839,2557
840,2178
841,1264
842,843
851,1073
853,1187
853,1252
853,3496
853,3874
854,1607
856,1378
856,1442
856,1742
856,2032
856,2314
856,2411
856,2845
856,2940
856,2950
856,3592
859,1045
859,1253
863,864
863,998
864,998
868,2560
871,906
871,3730
873,874
877,1313
877,1838
877,2269
877,2818
877,3318
877,3552
880,1452
880,1530
880,2300
880,3679
881,1757
883,2100
883,3319
884,1033
885,2100
885,2777
888,989
890,2494
895,1070
896,1063
896,1889
896,2180
896,3084
897,898
900,901
900,3428
906,946
906,2342
930,960
931,3392
932,1097
937,2138
939,3385
951,994
951,1208
960,1124
960,1984
960,2001
960,2326
960,2999
960,3484
967,2959
967,3315
967,3832
969,1048
969,1179
971,1277
971,1429
971,1524
971,1715
971,1802
971,1998
971,2102
971,2164
971,2165
971,2178
971,2575
971,2587
971,2770
971,2820
974,1363
975,976
975,1001
975,1016
975,1043
975,1138
975,1350
975,1438
975,1673
975,1779
975,1992
975,2068
975,2603
975,2688
975,2711
975,2948
975,3451
975,3586
975,3587
976,1363
976,1438
976,1673
978,1809
978,2022
978,2144
978,2148
978,2149
978,2310
978,2352
978,2353
978,2368
978,2369
978,2407
978,2606
983,984
983,985
983,3505
983,3575
986,1059
991,1874
991,1875
993,1331
993,1833
993,1858
995,1022
995,1539
995,1665
995,3327
999,1119
1001,1040
1007,2152
1010,1011
1010,1257
1010,1817
1011,1257
1011,1817
1014,1361
1014,1364
1014,1450
1014,1451
1014,1476
1014,1801
1014,1844
1014,1933
1014,1960
1014,2065
1014,2126
1014,2178
1014,2186
1014,2301
1014,2342
1014,2553
1014,2596
1014,2726
1014,2740
1014,2956
1014,3123
1014,3132
1014,3162
1014,3175
1014,3199
1014,3251
1014,3479
1015,1016
1015,1561
1015,3153
1016,1210
1016,1275
1016,1363
1016,1438
1016,1503
1016,1511
1016,1512
1016,1661
1016,1672
1016,1784
1016,1822
1016,1823
1016,1902
1016,1903
1016,1992
1016,1996
1016,2045
1016,2068
1016,2317
1016,2477
1016,2581
1016,2611
1016,2687
1016,2688
1016,2769
1016,3061
1016,3153
1016,3203
1016,3207
1016,3515
1018,1209
1023,2301
1023,2632
1032,1708
1033,1664
1033,1715
1039,1351
1043,1044
1043,1045
1043,1121
1043,1364
1043,1884
1043,1898
1043,1984
1043,2324
1043,2496
1043,2669
1043,2680
1043,2692
1043,2729
1043,3451
1044,1045
1044,1121
1044,1122
1044,1123
1044,1898
1045,1125
1045,1170
1045,1245
1045,3723
1047,1125
1047,1673
1048,1179
1048,1221
1049,1051
1049,1052
1051,1052
1055,1730
1056,1993
1057,1058
1063,1064
1063,2481
1064,1079
1064,1117
1064,2481
1064,3096
1066,2628
1066,3703
1066,3704
1069,1509
1069,1561
1069,1674
1069,1817
1069,3648
1069,3886
1074,2560
1074,3418
1074,3785
1077,1984
1077,2043
1079,1117
1084,2902
1084,3163
1084,3642
1085,2543
1089,1478
1089,1534
1089,1561
1092,1093
1097,2435
1099,1100
1104,1126
1104,2221
1104,3830
1107,2612
1110,1742
1110,2179
1112,2605
1121,1122
1121,1123
1121,1262
1121,1898
1122,1123
1122,1509
1122,2372
1122,2460
1122,2882
1123,1262
1124,2001
1124,2326
1124,3484
1125,1870
1125,3875
1126,1751
1126,2221
1126,3636
1129,1737
1136,2963
1138,1494
1138,1992
1138,3129
1142,3659
1144,1792
1145,2324
1147,1303
1148,1690
1149,2527
1149,2946
1151,2201
1152,1955
1156,1157
1157,1616
1157,1618
1157,2192
1159,2172
1159,3262
1160,1893
1164,2314
1166,3861
1169,1194
1169,2637
1169,3347
1170,1260
1170,3478
1172,1975
1174,1587
1176,1722
1176,2751
1176,3163
1176,3505
1180,1846
1180,2486
1181,1198
1181,2629
1181,3570
1181,3603
1182,1183
1182,2299
1182,2510
1183,2510
1184,1507
1184,2354
1184,3627
1184,3702
1184,3724
1184,3767
1186,1201
1186,3693
1187,1252
1187,3496
1187,3874
1190,1211
1192,2971
1195,2591
1195,3706
1196,1234
1196,2716
1196,3641
1196,3853
1198,2236
1199,2299
1199,2357
1199,2499
1199,2510
1201,3693
1202,1682
1204,1641
1204,1737
1204,1804
1204,3306
1205,1221
1207,1208
1208,3495
1210,1275
1210,1661
1210,1902
1210,1913
1210,2002
1210,2303
1210,2356
1210,2434
1210,2461
1213,2414
1213,2508
1215,2443
1215,3778
1215,3779
1219,2465
1224,1635
1224,1648
1225,1667
1226,1680
1226,2683
1226,3791
1229,3405
1230,2339
1230,3466
1231,1238
1231,3878
1232,1675
1232,3106
1233,2358
1234,3853
1235,3734
1237,3273
1240,1241
1240,1242
1240,2232
1242,2232
1243,2557
1244,1536
1244,1950
1244,2294
1244,2425
1244,2437
1244,2771
1244,2887
1252,3496
1252,3874
1255,1696
1255,1843
1255,2967
1257,1817
1258,1494
1258,1750
1258,3808
1267,2356
1275,2102
1275,2259
1277,2164
1280,1281
1281,2590
1282,1283
1285,2828
1287,2935
1288,2276
1288,3177
1290,1363
1290,1364
1290,1365
1290,1420
1290,1555
1290,2314
1291,2462
1293,1405
1293,2603
1298,1513
1298,2317
1298,2402
1298,2697
1299,3941
1300,1315
1300,2670
1303,1397
1303,1429
1303,2236
1303,2419
1303,2941
1303,3015
1303,3124
1303,3907
1304,2428
1307,3576
1308,1309
1311,1941
1311,2762
1311,4024
1315,2670
1323,3892
1324,1387
1324,1909
1325,3385
1325,3428
1327,3271
1327,3285
1329,1480
1329,2276
1329,3248
1331,1858
1332,1918
1332,1940
1332,2250
1332,3171
1332,3178
1332,3237
1332,3510
1332,3763
1336,1337
1336,2024
1336,2036
1336,2087
1336,2671
1337,1442
1337,1742
1337,1744
1337,1919
1337,1922
1337,2533
1337,2945
1342,1400
1342,1480
1342,1884
1342,2276
1342,2630
1342,2925
1342,3082
1343,1429
1344,1455
1344,1840
1344,2145
1344,3242
1350,2711
1352,1353
1353,2186
1354,2180
1354,2418
1354,2836
1355,1429
1358,1361
1358,1933
1358,2044
1358,3140
1359,2311
1359,2416
1359,3478
1359,3971
1360,1405
1360,1442
1360,1727
1360,1872
1360,2236
1360,2604
1361,1407
1361,1429
1361,1450
1361,1771
1361,1926
1361,2044
1361,2164
1361,2167
1361,2300
1361,2327
1361,2379
1361,2710
1361,2730
1362,2030
1362,2662
1363,1364
1363,1438
1363,1512
1363,1561
1363,2314
1363,2324
1363,2369
1363,2373
1363,2962
1364,1552
1364,1621
1364,1772
1364,1859
1364,1901
1364,2015
1364,2185
1364,2287
1364,2330
1364,2340
1364,2366
1364,2429
1364,2636
1364,2782
1364,3162
1364,3164
1364,3961
1365,1451
1365,2014
1365,2236
1365,2930
1365,3920
1365,3921
1366,1401
1366,1927
1366,3962
1367,2746
1367,3010
1368,1413
1369,1972
1369,2733
1369,2809
1369,3167
1370,1836
1370,2301
1372,1419
1372,1518
1373,1495
1373,2276
1375,2049
1375,2301
1375,3182
1376,3982
1377,2164
1377,2327
1378,1397
1378,1443
1378,2049
1378,3226
1380,1920
1384,2361
1385,2299
1385,2482
1385,2657
1385,3747
1386,1724
1387,1421
1387,1909
1388,3056
1391,3175
1392,2000
1393,1397
1393,2102
1393,2250
1393,2317
1393,2846
1393,2848
1395,1847
1395,2058
1395,2125
1395,2473
1396,1422
1397,1414
1397,1457
1397,1621
1397,1833
1397,2102
1397,2250
1397,2317
1397,2389
1397,2422
1397,2940
1397,3164
1397,4057
1398,2051
1399,1459
1399,1524
1399,1835
1399,2016
1399,2234
1400,1410
1400,2301
1400,2925
1400,2944
1401,1908
1401,1961
1401,2129
1401,2287
1401,2773
1401,2794
1401,3123
1402,1403
1402,1404
1402,1860
1402,2301
1402,3182
1403,2301
1403,4009
1404,2732
1405,1646
1405,1729
1405,1814
1405,1815
1405,1859
1405,1918
1405,1962
1405,1972
1405,2004
1405,2005
1405,2102
1405,2522
1405,2579
1405,2759
1405,3119
1405,3979
1407,1998
1408,1930
1409,2119
1409,2301
1411,2345
1413,1924
1413,2423
1415,1730
1417,2473
1419,1434
1419,1443
1419,1518
1420,1927
1420,2706
1420,2730
1421,1909
1422,2071
1424,2025
1426,1613
1426,2613
1429,1524
1429,2164
1429,2236
1429,2737
1429,2741
1429,3093
1429,3138
1430,1725
1430,3656
1431,1925
1433,1807
1433,2317
1433,2402
1435,2382
1436,3177
1438,1873
1438,1882
1438,2324
1438,2373
1438,2377
1438,2680
1438,2687
1438,2688
1438,2699
1440,2345
1442,1742
1442,1987
1442,2024
1442,2032
1442,2036
1442,2072
1442,2236
1442,2533
1443,3226
1444,2769
1447,2978
1448,2016
1448,3707
1449,1918
1449,1945
1450,1451
1450,2004
1450,2106
1450,2164
1450,2178
1450,2820
1450,2935
1450,3085
1451,2014
1451,2164
1451,2231
1451,2770
1452,1478
1452,2300
1453,2929
1455,2680
1455,2708
1455,2714
1457,1833
1457,2389
1459,2131
1460,2295
1461,1462
1461,2584
1462,2584
1463,1473
1463,1474
1463,1750
1463,3736
1463,3737
1463,3738
1464,2439
1468,3605
1469,2425
1469,2439
1469,2803
1469,3854
1471,1987
1473,1474
1475,1483
1476,1477
1476,1777
1476,1778
1476,1787
1476,1834
1476,1947
1476,1948
1476,2049
1476,2065
1476,2068
1476,2069
1476,2098
1476,2281
1476,2934
1476,3504
1477,1777
1477,1778
1477,1787
1477,1834
1477,2068
1477,2098
1477,2934
1478,1534
1478,1561
1478,2401
1478,2409
1480,2008
1480,2276
1480,2314
1480,2411
1480,2456
1480,2630
1481,1483
1481,2819
1483,1976
1483,2301
1483,2455
1483,2650
1483,2728
1485,1553
1486,1715
1486,1801
1486,2845
1486,3132
1486,3170
1488,2469
1488,2470
1489,1490
1489,2030
1489,2158
1489,2214
1489,2587
1489,2936
1489,3219
1490,2214
1492,2682
1492,2838
1493,1971
1494,1496
1494,1499
1494,1723
1494,1750
1494,1773
1494,1776
1494,1837
1494,1994
1494,2897
1494,3780
1494,3782
1494,3803
1494,3839
1495,1975
1495,1985
1495,1986
1495,2817
1496,3839
1499,2306
1499,2350
1499,2679
1499,3137
1500,1556
1502,1819
1504,1505
1505,2396
1505,2559
1508,2811
1509,2460
1509,3886
1510,2455
1510,2765
1513,2697
1515,3612
1516,2087
1524,1835
1524,1957
1524,2003
1524,2234
1524,2236
1524,2241
1524,2246
1524,2259
1524,2264
1524,2527
1524,2573
1524,2731
1524,2747
1524,2944
1524,3050
1524,3160
1524,3238
1524,4019
1526,1768
1526,1769
1527,3335
1528,2675
1530,2315
1530,2393
1533,2740
1534,1561
1534,3869
1536,1742
1536,1750
1536,1804
1536,2272
1536,2294
1536,2299
1536,2437
1536,2445
1536,3691
1536,3815
1537,2338
1537,3459
1540,2129
1541,1925
1542,2227
1543,2180
1543,2911
1546,1934
1546,3651
1547,1790
1548,1554
1548,1558
1548,1600
1548,2640
1549,2014
1552,2185
1554,1557
1554,1558
1556,1597
1561,1588
1561,1612
1561,1666
1561,1673
1561,1674
1561,1677
1561,1810
1561,1817
1561,1818
1561,1831
1561,2237
1561,2831
1561,2882
1561,2962
1561,3357
1561,3361
1561,3835
1562,1749
1563,1565
1564,2442
1565,1581
1568,1804
1568,2642
1568,2884
1568,2893
1571,3280
1572,1574
1572,1577
1574,1575
1574,1577
1575,3838
1580,2806
1587,1682
1587,2763
1587,3302
1587,3619
1587,3746
1587,3748
1588,1677
1589,3881
1596,1597
1600,2587
1600,3180
1612,2005
1612,2006
1613,2613
1615,2627
1616,2192
1619,1847
1621,2422
1621,2636
1621,3961
1628,2609
1630,1633
1630,2299
1631,3218
1633,2299
1634,2805
1635,1648
1637,1845
1637,2430
1637,3047
1639,3189
1641,2022
1641,2401
1641,3354
1651,2586
1656,2123
1661,1823
1661,2477
1661,2611
1661,3153
1661,3203
1669,1867
1669,3792
1671,1683
1671,2438
1671,3486
1671,3717
1673,1674
1673,1817
1673,1818
1673,3100
1674,1817
1674,1818
1674,3100
1675,3106
1678,3087
1681,2271
1682,3748
1683,3486
1683,3717
1686,2595
1688,1916
1689,2746
1695,2049
1695,2096
1698,2297
1701,2093
1701,2094
1701,2457
1706,3256
1709,1710
1709,3563
1710,2663
1710,3563
1711,2523
1712,2558
1713,1721
1713,3330
1715,1801
1715,2553
1715,2575
1715,2646
1716,1720
1716,1880
1718,1853
1718,2598
1718,3317
1718,3516
1718,3532
1720,1880
1721,3107
1721,3284
1723,3368
1729,2003
1729,2004
1729,2005
1729,3231
1730,2093
1730,2180
1730,2189
1730,2996
1732,1741
1735,2993
1737,1804
1737,2147
1737,2221
1737,2425
1737,3295
1738,1739
1739,2337
1739,3725
1739,3726
1740,2881
1742,1744
1742,2032
1742,2272
1742,2445
1742,2645
1742,2877
1742,3860
1744,2396
1744,3856
1750,1804
1750,2504
1750,3691
1751,3636
1751,3771
1753,3777
1763,2722
1766,3077
1766,3078
1767,2690
1768,1769
1770,2067
1771,3358
1773,1837
1774,3278
1775,3626
1776,1994
1777,1778
1777,1787
1777,2098
1777,2934
1778,2098
1781,1782
1783,1877
1783,2793
1784,1822
1784,1823
1784,2249
1784,2429
1784,3153
1786,3473
1786,3551
1787,2098
1787,2934
1789,3131
1791,1902
1797,2049
1798,1800
1798,2553
1798,2983
1800,2983
1801,1844
1801,1960
1801,2230
1801,2342
1801,2755
1801,3123
1801,3132
1801,3170
1801,3474
1802,1838
1802,2133
1802,2164
1803,1804
1803,2143
1804,2143
1804,2155
1804,2156
1804,2328
1804,2413
1804,2642
1804,2884
1804,2893
1804,3658
1807,2288
1808,3105
1809,2310
1810,2831
1814,1815
1814,2436
1814,2852
1815,2146
1817,1818
1817,2134
1817,2296
1817,2297
1817,2336
1817,2415
1817,2421
1817,3100
1822,3153
1823,2477
1823,3207
1825,1873
1825,3154
1825,3207
1826,2418
1826,3061
1826,3200
1827,1990
1827,2708
1832,2022
1832,2433
1832,2698
1832,3354
1833,2389
1833,2431
1834,2068
1834,2069
1834,2119
1834,2376
1835,2012
1835,2236
1837,1838
1837,2664
1838,1958
1838,2664
1844,1936
1844,2181
1844,2236
1844,3132
1845,3047
1846,1864
1846,1865
1847,1884
1847,1926
1847,2018
1847,2058
1847,2125
1849,1865
1850,2256
1853,2598
1855,2309
1856,3468
1859,2145
1859,2287
1860,2301
1860,2574
1860,2756
1860,3123
1860,3182
1861,2355
1862,2766
1865,2164
1867,3792
1870,3875
1873,2245
1873,2454
1873,3154
1878,2556
1879,2408
1882,2418
1882,2687
1882,2911
1882,3283
1884,2324
1884,2496
1884,2692
1884,2729
1885,2311
1885,2923
1886,2301
1887,3055
1888,3355
1891,1897
1892,3549
1896,2117
1901,2400
1902,3153
1905,2213
1906,1910
1906,2203
1907,2028
1910,2203
1912,2026
1912,2587
1916,3794
1918,1919
1918,1922
1918,1925
1918,1931
1918,1932
1918,1935
1918,1943
1918,1945
1918,1952
1919,1922
1919,1925
1919,2174
1920,1923
1920,1925
1922,2174
1923,1924
1923,3173
1923,3645
1923,3969
1924,1927
1924,2026
1924,2102
1924,2239
1924,2255
1924,3645
1925,1927
1925,1943
1925,1944
1925,2758
1925,4004
1926,2529
1928,1933
1929,1938
1929,1951
1931,1932
1933,2265
1933,2949
1934,2110
1934,2532
1934,2639
1936,2181
1936,4006
1940,2669
1940,2840
1944,2925
1947,1948
1947,2049
1948,2049
1949,2081
1950,1951
1950,2490
1951,3067
1954,3981
1957,2576
1957,2731
1959,1972
1959,2759
1959,3076
1960,2030
1960,2304
1960,3123
1961,2794
1963,1964
1963,3986
1964,2140
1964,2524
1964,2618
1964,3491
1964,3986
